id,manufacturer,model,model_year,variant,segment,seats,price_local,currency,range_km,range_rating,battery_capacity_kwh,battery_chemistry,efficiency_wh_km,fast_charge_kw,charge_10_80_min,drivetrain,power_kw,torque_nm,acceleration_0_100_s,top_speed_kmh,length_mm,width_mm,height_mm,wheelbase_mm,ground_clearance_mm,cargo_volume_l,frunk_volume_l,towing_capacity_kg,curb_weight_kg,onboard_charger_kw,charge_port_type,v2l_capable,plug_and_charge,range_city_km,range_highway_km
hyundai-ioniq-5-xrt-2026,Hyundai,IONIQ 5,2026,XRT AWD,crossover,5,46275,USD,417,epa,84,nmc,213,350,20,awd,239,605,5.3,185,4656,1890,1626,3000,178,745,24,1225,2141,10.9,nacs,true,true,,
hyundai-ioniq-5-n-2026,Hyundai,IONIQ 5,2026,N AWD,crossover,5,67800,USD,356,epa,84,nmc,256,350,18,awd,448,759,3.5,262,4715,1890,1600,3000,155,745,24,,2205,10.9,nacs,true,true,,
hyundai-ioniq-6-sr-2025,Hyundai,IONIQ 6,2025,Standard Range RWD,sedan,5,37850,USD,386,epa,53,nmc,154,350,18,rwd,111,350,,185,4855,1880,1495,2950,142,317,14,,1746,10.9,ccs,false,true,,
hyundai-ioniq-6-rwd-2025,Hyundai,IONIQ 6,2025,Long Range RWD,sedan,5,42800,USD,550,epa,77.4,nmc,155,350,18,rwd,168,350,,185,4855,1880,1495,2950,142,317,14,,1985,10.9,ccs,false,true,,
hyundai-ioniq-6-awd-2025,Hyundai,IONIQ 6,2025,Long Range AWD,sedan,5,46300,USD,509,epa,77.4,nmc,176,350,18,awd,239,605,4.9,185,4855,1880,1495,2950,142,317,14,,2024,10.9,ccs,false,true,,
hyundai-ioniq-9-rwd-2026,Hyundai,IONIQ 9,2026,Long Range RWD,suv,7,58955,USD,539,epa,110.3,nmc,208,350,24,rwd,160,350,,185,5060,1981,1791,3129,175,620,,1588,2498,10.9,nacs,false,true,,
hyundai-ioniq-9-awd-2026,Hyundai,IONIQ 9,2026,Long Range AWD,suv,7,62765,USD,515,epa,110.3,nmc,217,350,24,awd,226,605,5.2,185,5060,1981,1791,3129,175,620,,2268,2606,10.9,nacs,false,true,,
hyundai-ioniq-9-performance-2026,Hyundai,IONIQ 9,2026,Performance AWD,suv,6,71250,USD,500,epa,110.3,nmc,227,350,24,awd,315,700,4.7,209,5060,1981,1791,3129,175,620,,2268,2719,10.9,nacs,true,true,,
kia-niro-ev-2026,Kia,Niro EV,2026,Wind,crossover,5,39600,USD,407,epa,64.8,nmc,170,85,43,fwd,150,255,7.4,167,4420,1826,1570,2720,160,645,20,750,1688,11,ccs,true,false,,
kia-ev6-sr-rwd-2026,Kia,EV6,2026,Standard Range RWD,crossover,5,42900,USD,381,epa,63,nmc,182,350,20,rwd,125,350,8.6,185,4694,1880,1544,2900,155,691,25,,1874,10.9,nacs,true,true,,
kia-ev6-lr-rwd-2026,Kia,EV6,2026,Long Range RWD,crossover,5,46200,USD,513,epa,84,nmc,166,350,18,rwd,168,350,7.6,185,4694,1880,1544,2900,155,691,25,1225,1995,10.9,nacs,true,true,,
kia-ev6-lr-awd-2026,Kia,EV6,2026,Long Range AWD,crossover,5,50300,USD,475,epa,84,nmc,180,350,18,awd,239,605,5.3,188,4694,1880,1544,2900,155,691,25,1225,2100,10.9,nacs,true,true,,
kia-ev6-gt-2026,Kia,EV6,2026,GT AWD,crossover,5,63800,USD,372,epa,84,nmc,247,350,18,awd,448,739,3.7,259,4694,1890,1544,2900,155,691,25,1225,2215,10.9,nacs,true,true,,
kia-ev9-sr-rwd-2026,Kia,EV9,2026,Standard Range RWD,suv,7,54900,USD,370,epa,76.1,nmc,222,235,20,rwd,160,350,8.0,190,5009,1979,1750,3100,178,572,91,907,2316,10.9,nacs,true,true,,
kia-ev9-lr-rwd-2026,Kia,EV9,2026,Long Range RWD,suv,7,57900,USD,491,epa,99.8,nmc,216,210,24,rwd,150,350,9.1,185,5009,1979,1750,3100,178,572,91,907,2416,10.9,nacs,true,true,,
kia-ev9-lr-awd-2026,Kia,EV9,2026,Long Range AWD,suv,7,63900,USD,455,epa,99.8,nmc,229,210,24,awd,283,601,5.3,200,5014,1979,1781,3100,198,572,51,2268,2592,10.9,nacs,true,true,,
